Episode Number,Random Agent,Naïve Sarsa,"Sarsa, Space Discretized","Sarsa, Space Discretized, Noisy Observation",Deep Q-Network,"Deep Q-Network, Noisy Observation",Dueling Deep Q-Network,"Dueling Deep Q-Network, Noisy Observation",REINFORCE,"REINFORCE, Noisy Observation"
1,-1.24E+02,-9.38E+01,-3.63E+02,-1.22E+02,-2.51E+02,-149.44,-2.38E+02,-254.3,-2.07E+02,-2.57E+02
2,-1.07E+02,-2.33E+02,-2.21E+02,-1.38E+02,-2.37E+02,-134.79,-1.77E+02,-191.9,-1.49E+02,-1.40E+02
3,-1.09E+02,-2.13E+02,-1.85E+02,-1.25E+02,-2.04E+02,-153.86,-1.35E+02,-138.1,-1.34E+02,-1.25E+02
4,-8.25E+01,-2.69E+02,-2.52E+02,-1.19E+02,-2.06E+02,-161.77,-1.58E+02,-142,-1.85E+02,-1.36E+02
5,-8.68E+01,-2.54E+02,-2.47E+02,-1.20E+02,-1.83E+02,-167.92,-1.57E+02,-172.6,-2.19E+02,-1.30E+02
6,-9.43E+01,-2.27E+02,-2.33E+02,-1.21E+02,-1.71E+02,-156.35,-2.02E+02,-162.7,-2.50E+02,-1.08E+02
7,-1.10E+02,-2.10E+02,-2.19E+02,-1.28E+02,-1.65E+02,-150.35,-2.11E+02,-155.7,-2.25E+02,-1.17E+02
8,-9.83E+01,-2.00E+02,-2.23E+02,-1.31E+02,-1.53E+02,-150.52,-1.92E+02,-196.7,-2.09E+02,-1.19E+02
9,-9.44E+01,-2.16E+02,-2.22E+02,-1.31E+02,-1.62E+02,-148.96,-1.87E+02,-196.6,-2.11E+02,-1.34E+02
10,-9.70E+01,-2.01E+02,-2.00E+02,-1.30E+02,-1.82E+02,-147.06,-1.81E+02,-198.6,-1.98E+02,-1.31E+02
11,-1.05E+02,-2.00E+02,-1.98E+02,-1.29E+02,-2.02E+02,-170.71,-1.62E+02,-210.5,-1.90E+02,-1.30E+02
12,-1.28E+02,-2.05E+02,-2.00E+02,-1.33E+02,-2.26E+02,-166.46,-1.54E+02,-219.9,-2.02E+02,-1.29E+02
13,-1.28E+02,-1.93E+02,-2.00E+02,-1.32E+02,-2.32E+02,-164.36,-1.50E+02,-215.7,-2.26E+02,-1.41E+02
14,-1.31E+02,-1.96E+02,-1.97E+02,-1.32E+02,-2.18E+02,-162.98,-1.63E+02,-209.8,-2.44E+02,-1.42E+02
15,-1.31E+02,-1.95E+02,-2.00E+02,-1.30E+02,-2.16E+02,-156.91,-1.55E+02,-205.8,-2.45E+02,-1.42E+02
16,-1.43E+02,-1.89E+02,-2.05E+02,-1.33E+02,-2.28E+02,-152.42,-1.55E+02,-203,-2.35E+02,-1.40E+02
17,-1.44E+02,-1.94E+02,-2.03E+02,-1.33E+02,-2.19E+02,-153.82,-1.51E+02,-190.7,-2.41E+02,-1.39E+02
18,-1.52E+02,-2.00E+02,-2.00E+02,-1.33E+02,-2.18E+02,-155.85,-1.49E+02,-195.6,-2.31E+02,-1.37E+02
19,-1.57E+02,-1.92E+02,-2.00E+02,-1.34E+02,-2.13E+02,-159.65,-1.48E+02,-186.2,-2.25E+02,-1.43E+02
20,-1.46E+02,-1.86E+02,-2.00E+02,-1.29E+02,-2.12E+02,-153.88,-1.42E+02,-178.3,-2.19E+02,-1.46E+02
21,-1.45E+02,-1.82E+02,-1.97E+02,-1.28E+02,-2.07E+02,-147.61,-1.39E+02,-168.6,-2.13E+02,-1.45E+02
22,-1.60E+02,-1.82E+02,-1.93E+02,-1.27E+02,-2.00E+02,-141.39,-1.35E+02,-161,-2.23E+02,-1.49E+02
23,-1.70E+02,-1.81E+02,-1.84E+02,-1.29E+02,-1.98E+02,-136.38,-1.21E+02,-168.2,-2.20E+02,-1.49E+02
24,-1.76E+02,-1.89E+02,-1.88E+02,-1.28E+02,-1.95E+02,-135.28,-1.19E+02,-163.3,-2.15E+02,-1.50E+02
25,-1.70E+02,-1.83E+02,-1.85E+02,-1.29E+02,-2.06E+02,-140.8,-1.16E+02,-165.5,-2.10E+02,-1.71E+02
26,-1.64E+02,-1.87E+02,-1.79E+02,-1.29E+02,-2.82E+02,-179.08,-1.13E+02,-169.2,-2.11E+02,-1.67E+02
27,-1.61E+02,-1.87E+02,-1.76E+02,-1.28E+02,-2.78E+02,-175.96,-1.18E+02,-167.8,-2.19E+02,-1.67E+02
28,-1.59E+02,-1.85E+02,-1.77E+02,-1.28E+02,-3.43E+02,-176.36,-1.15E+02,-164.6,-2.16E+02,-1.65E+02
29,-1.56E+02,-1.86E+02,-1.77E+02,-1.28E+02,-3.39E+02,-173.93,-1.17E+02,-159.5,-2.07E+02,-1.62E+02
30,-1.64E+02,-1.87E+02,-1.79E+02,-1.28E+02,-3.31E+02,-178.83,-1.16E+02,-157.1,-2.05E+02,-1.61E+02
31,-1.62E+02,-1.87E+02,-1.77E+02,-1.29E+02,-3.31E+02,-186.6,-1.16E+02,-154.4,-2.07E+02,-1.59E+02
32,-1.61E+02,-1.90E+02,-1.79E+02,-1.29E+02,-3.25E+02,-180.87,-1.19E+02,-152.7,-2.08E+02,-1.57E+02
33,-1.58E+02,-1.88E+02,-1.79E+02,-1.29E+02,-3.22E+02,-185.14,-1.17E+02,-151.3,-2.06E+02,-1.60E+02
34,-1.59E+02,-1.88E+02,-1.78E+02,-1.29E+02,-3.17E+02,-183.96,-1.21E+02,-152.7,-2.08E+02,-1.59E+02
35,-1.56E+02,-1.91E+02,-1.77E+02,-1.33E+02,-3.11E+02,-181.51,-1.79E+02,-150.4,-2.10E+02,-1.60E+02
36,-1.62E+02,-1.93E+02,-1.76E+02,-1.32E+02,-3.10E+02,-177.43,-1.77E+02,-148.4,-2.08E+02,-1.60E+02
37,-1.61E+02,-1.97E+02,-1.77E+02,-1.28E+02,-3.04E+02,-175.14,-2.49E+02,-147.7,-2.06E+02,-1.59E+02
38,-1.59E+02,-1.93E+02,-1.76E+02,-1.28E+02,-3.40E+02,-171.93,-2.54E+02,-145.9,-2.03E+02,-1.61E+02
39,-1.60E+02,-1.96E+02,-1.74E+02,-1.27E+02,-3.38E+02,-170.36,-2.54E+02,-144.7,-2.02E+02,-1.61E+02
40,-1.58E+02,-1.96E+02,-1.76E+02,-1.28E+02,-4.13E+02,-169.63,-2.51E+02,-146.1,-2.01E+02,-1.57E+02
41,-1.56E+02,-1.93E+02,-1.76E+02,-1.27E+02,-4.07E+02,-167.37,-2.60E+02,-142.8,-1.99E+02,-1.56E+02
42,-1.60E+02,-1.92E+02,-1.77E+02,-1.27E+02,-4.01E+02,-164.63,-3.30E+02,-141.7,-1.97E+02,-1.55E+02
43,-1.62E+02,-1.89E+02,-1.75E+02,-1.26E+02,-3.95E+02,-161.64,-3.25E+02,-140.9,-1.95E+02,-1.54E+02
44,-1.60E+02,-1.88E+02,-1.72E+02,-1.26E+02,-4.50E+02,-157.12,-3.20E+02,-139.2,-1.94E+02,-1.52E+02
45,-1.65E+02,-1.86E+02,-1.71E+02,-1.26E+02,-4.61E+02,-180.61,-3.13E+02,-140.5,-1.93E+02,-1.51E+02
46,-1.63E+02,-1.86E+02,-1.70E+02,-1.26E+02,-4.84E+02,-180.38,-3.05E+02,-139.2,-1.92E+02,-1.51E+02
47,-1.63E+02,-1.84E+02,-1.71E+02,-1.26E+02,-4.75E+02,-184.13,-3.01E+02,-137.6,-1.92E+02,-1.50E+02
48,-1.62E+02,-1.84E+02,-1.72E+02,-1.26E+02,-4.67E+02,-193.61,-2.95E+02,-134.6,-1.96E+02,-1.49E+02
49,-1.63E+02,-1.85E+02,-1.72E+02,-1.27E+02,-4.60E+02,-190.55,-2.91E+02,-137.9,-1.95E+02,-1.48E+02
50,-1.62E+02,-1.88E+02,-1.71E+02,-1.27E+02,-4.53E+02,-209.99,-2.86E+02,-135.8,-1.94E+02,-1.47E+02
51,-1.64E+02,-1.91E+02,-1.70E+02,-1.27E+02,-4.43E+02,-208.66,-2.82E+02,-134.8,-1.92E+02,-1.49E+02
52,-1.64E+02,-1.87E+02,-1.68E+02,-1.27E+02,-4.36E+02,-209.21,-2.78E+02,-135.2,-1.95E+02,-1.48E+02
53,-1.63E+02,-1.91E+02,-1.67E+02,-1.28E+02,-4.31E+02,-208.42,-2.77E+02,-133.8,-1.94E+02,-1.47E+02
54,-1.62E+02,-1.93E+02,-1.67E+02,-1.28E+02,-4.27E+02,-207.23,-2.75E+02,-132.8,-1.92E+02,-1.48E+02
55,-1.66E+02,-1.95E+02,-1.66E+02,-1.28E+02,-4.22E+02,-212.08,-2.67E+02,-138,-1.90E+02,-1.48E+02
56,-1.65E+02,-2.00E+02,-1.66E+02,-1.29E+02,-4.13E+02,-211.81,-2.59E+02,-137.6,-1.91E+02,-1.48E+02
57,-1.63E+02,-2.00E+02,-1.64E+02,-1.29E+02,-4.03E+02,-212.49,-2.51E+02,-135.3,-1.90E+02,-1.49E+02
58,-1.59E+02,-1.98E+02,-1.64E+02,-1.29E+02,-4.01E+02,-211.56,-2.47E+02,-135.9,-1.89E+02,-1.49E+02
59,-1.57E+02,-1.97E+02,-1.61E+02,-1.29E+02,-3.97E+02,-212.32,-2.39E+02,-135.3,-1.88E+02,-1.51E+02
60,-1.61E+02,-1.94E+02,-1.59E+02,-1.29E+02,-4.06E+02,-209.12,-2.35E+02,-134,-1.90E+02,-1.52E+02
61,-1.65E+02,-1.91E+02,-1.57E+02,-1.26E+02,-3.99E+02,-210.99,-2.28E+02,-133.4,-1.89E+02,-1.52E+02
62,-1.64E+02,-1.92E+02,-1.59E+02,-1.26E+02,-3.95E+02,-210.85,-2.30E+02,-133,-1.88E+02,-1.53E+02
63,-1.63E+02,-1.94E+02,-1.58E+02,-1.26E+02,-3.89E+02,-209.43,-2.35E+02,-134.3,-1.88E+02,-1.52E+02
64,-1.62E+02,-1.92E+02,-1.57E+02,-1.26E+02,-3.86E+02,-207.12,-2.31E+02,-133.9,-1.87E+02,-1.51E+02
65,-1.61E+02,-1.91E+02,-1.58E+02,-1.26E+02,-3.85E+02,-207.71,-2.28E+02,-134.5,-1.85E+02,-1.54E+02
66,-1.64E+02,-1.89E+02,-1.57E+02,-1.26E+02,-3.84E+02,-207.72,-2.22E+02,-135.6,-1.86E+02,-1.55E+02
67,-1.65E+02,-1.88E+02,-1.56E+02,-1.27E+02,-3.78E+02,-207.13,-2.18E+02,-134.6,-1.85E+02,-1.55E+02
